AB	Абхазия
AU	Австралия
AT	Австрия
AZ	Азербайджан
AL	Албания
DZ	Алжир
AS	Американское Самоа
AI	Ангилья
AO	Ангола
AD	Андорра
AQ	Антарктида
AG	Антигуа и Барбуда
AR	Аргентина
AM	Армения
AW	Аруба
AF	Афганистан
BS	Багамы
BD	Бангладеш
BB	Барбадос
BH	Бахрейн
BY	Беларусь
BZ	Белиз
BE	Бельгия
BJ	Бенин
BM	Бермуды
BG	Болгария
BO	Боливия, Многонациональное Государство
BQ	Бонэйр, Синт-Эстатиус и Саба
BA	Босния и Герцеговина
BW	Ботсвана
BR	Бразилия
IO	Британская Территория в Индийском Океане
BN	Бруней-Даруссалам
BF	Буркина-Фасо
BI	Бурунди
BT	Бутан
VU	Вануату
HU	Венгрия
VE	Венесуэла Боливарская Республика
VG	Виргинские Острова, британские
VI	Виргинские острова, США
VN	Вьетнам
GA	Габон
GY	Гайана
HT	Гаити
GM	Гамбия
GH	Гана
GP	Гваделупа
GT	Гватемала
GN	Гвинея
GW	Гвинея-Бисау
DE	Германия
GG	Гернси
GI	Гибралтар
HN	Гондурас
HK	Гонконг
GD	Гренада
GL	Гренландия
GR	Греция
GE	Грузия
GU	Гуам
DK	Дания
JE	Джерси
DJ	Джибути
DM	Доминика
DO	Доминиканская Республика
EU	Европейский союз
EG	Египет
ZM	Замбия
EH	Западная Сахара
ZW	Зимбабве
YE	Йемен
IL	Израиль
IN	Индия
ID	Индонезия
JO	Иордания
IQ	Ирак
IR	Иран, Исламская Республика
IE	Ирландия
IS	Исландия
ES	Испания
IT	Италия
CV	Кабо-Верде
KZ	Казахстан
KH	Камбоджа
CM	Камерун
CA	Канада
QA	Катар
KE	Кения
CY	Кипр
KG	Киргизия
KI	Кирибати
CN	Китай
CC	Кокосовые (Килинг) Острова
CO	Колумбия
KM	Коморос
CG	Конго
CD	Конго, Демократическая Республика
KP	Корея, Народно-Демократическая Республика
KR	Корея, Республика
CR	Коста-Рика
CI	Кот Д’Ивуар
CU	Куба
KW	Кувейт
CW	Кюрасао
LA	Лаосская Народно-Демократическая Республика
LV	Латвия
LS	Лесото
LR	Либерия
LB	Ливан
LY	Ливийская Арабская Джамахирия
LT	Литва
LI	Лихтенштейн
LU	Люксембург
MU	Маврикий
MR	Мавритания
MG	Мадагаскар
YT	Майотта
MO	Макао
MW	Малави
MY	Малайзия
ML	Мали
UM	Малые Тихоокеанские Отдаленные Острова Соединенных Штатов
MV	Мальдивы
MT	Мальта
MA	Марокко
MQ	Мартиника
MH	Маршалловы острова
MX	Мексика
FM	Микронезия, Федеративные Штаты
MZ	Мозамбик
MD	Молдова, Республика
MC	Монако
MN	Монголия
MS	Монтсеррат
MM	Мьянма
NA	Намибия
NR	Науру
NP	Непал
NE	Нигер
NG	Нигерия
NL	Нидерладны
NI	Никарагуа
NU	Ниуэ
NZ	Новая Зеландия
NC	Новая Каледония
NO	Норвегия
AE	Объединенные Арабские Эмираты
OM	Оман
BV	Остров Буве
IM	Остров Мэн
NF	Остров Норфолк
CX	Остров Рождества
HM	Остров Херд и Острова Макдоналд
KY	Острова Кайман
CK	Острова Кука
TC	Острова Тёркс и Кайкос
PK	Пакистан
PW	Палау
PS	Палестинская Территория, Оккупированная
PA	Панама
VA	Папский Престол (государство-город Ватикан)
PG	Папуа - Новая Гвинея
PY	Парагвай
PE	Перу
PN	Питкерн
PL	Польша
PT	Португалия
PR	Пуэрто-Рико
MK	Республика Македония
RE	Реюньон
RU	Россия
RW	Руанда
RO	Румыния
WS	Самоа
SM	Сан-Марино
ST	Сан-Томе и Принсипи
SA	Саудовская Аравия
SZ	Свазиленд
SH	Святая Елена, Остров Вознесения, Тристан-да-Кунья
MP	Северные Марианские Острова
SC	Сейшелы
BL	Сен-Бартелеми
SN	Сенегал
MF	Сен-Мартен
SX	Сен-Мартен (нидерландская часть)
PM	Сен-Пьер и Микелон
VC	Сент-Винсент и Гренадины
KN	Сент-Китс и Невис
LC	Сент-Люсия
RS	Сербия
SG	Сингапур
SY	Сирийская Арабская Республика
SK	Словакия
SI	Словения
GB	Соединенное королевство
US	Соединенные Штаты
SB	Соломоновы острова
SO	Сомали
SD	Судан
SR	Суринам
SL	Сьерра-Леоне
TJ	Таджикистан
TW	Тайвань (Китай)
TH	Таиланд
TZ	Танзания, Объединенная Республика
TL	Тимор-Лесте
TG	Того
TK	Токелау
TO	Тонга
TT	Тринидад и Тобаго
TV	Тувалу
TN	Тунис
TM	Туркмения
TR	Турция
UG	Уганда
UZ	Узбекистан
UA	Украина
WF	Уоллис и Футуна
UY	Уругвай
FO	Фарерские Острова
FJ	Фиджи
PH	Филиппины
FI	Финлядния
FK	Фолклендские Острова (Мальвинские)
PF	Франзуская Полинезия
FR	Франция
GF	Французская Гвиана
TF	Французские Южные Территории
HR	Хорватия
CF	Центрально-Африканская Республика
TD	Чад
ME	Черногория
CZ	Чешская Республика
CL	Чили
CH	Швейцария
SE	Швеция
SJ	Шпицберген и Ян Майен
LK	Шри-Ланка
EC	Эквадор
GQ	Экваториальная Гвинея
AX	Эландские острова
SV	Эль-Сальвадор
ER	Эритрея
EE	Эстония
ET	Эфиопия
ZA	Южная Африка
GS	Южная Джорджия и Южные Сандвичевы острова
OS	Южная Осетия
JM	Ямайка
JP	Япония
